run_name,train_rows,val_rows,learning_rate,lora_r,lora_alpha,lora_dropout,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size,max_steps,warmup_ratio,lr_scheduler_type,train_loss,train_runtime,eval_loss,best_loss_checkpoint,svg_open_rate,svg_close_rate,xml_parse_rate,render_rate,avg_pred_char_len,submission_valid_rate,registry_model_id,max_seq_length,tuning_stage
r2_001_r16_seed42,7500,4990,0.0002,16,32,0.05,4,8,32,125,0.05,cosine,0.4480929217338562,2410.7936,0.4051044583320617,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r2_001_r16_seed42/checkpoint-120,,,,,,,e87a05edb1aa4da1,1536,round2
r2_002_r32_seed42,7500,4990,0.0002,32,64,0.05,4,8,32,125,0.05,cosine,0.4338525490760803,2411.6502,0.3912986516952514,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r2_002_r32_seed42/checkpoint-120,,,,,,,cd09b0b598b04c8e,1536,round2
r2_003_r64_seed42,7500,4990,0.0002,64,128,0.05,4,8,32,125,0.05,cosine,0.41836857652664183,2426.7976,0.3770499527454376,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r2_003_r64_seed42/checkpoint-120,,,,,,,895df98c4cff4892,1536,round2
