run_name,train_rows,val_rows,learning_rate,lora_r,lora_alpha,lora_dropout,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size,max_steps,warmup_ratio,lr_scheduler_type,train_loss,train_runtime,eval_loss,best_loss_checkpoint,svg_open_rate,svg_close_rate,xml_parse_rate,render_rate,avg_pred_char_len,submission_valid_rate,registry_model_id,max_seq_length,tuning_stage
r1_001_msl1024_lr0.0001_steps175_seed42,7500,4990,0.0001,16,32,0.05,4,8,32,175,0.05,cosine,0.4697913939612252,1925.1436,0.4272731840610504,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_001_msl1024_lr0.0001_steps175_seed42/checkpoint-150,,,,,,,c00eed730559486c,1024,round1
r1_002_msl1024_lr0.0001_steps350_seed42,7500,4990,0.0001,16,32,0.05,4,8,32,350,0.05,cosine,0.4304521148545401,4140.8307,0.3930389881134033,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_002_msl1024_lr0.0001_steps350_seed42/checkpoint-350,,,,,,,631bfea447974924,1024,round1
r1_003_msl1024_lr0.0002_steps175_seed42,7500,4990,0.0002,16,32,0.05,4,8,32,175,0.05,cosine,0.4472182280676705,1925.9341,0.4039382040500641,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_003_msl1024_lr0.0002_steps175_seed42/checkpoint-150,,,,,,,f9cfe3de45914b51,1024,round1
r1_004_msl1024_lr0.0002_steps350_seed42,7500,4990,0.0002,16,32,0.05,4,8,32,350,0.05,cosine,0.4107361429078238,4141.0337,0.3757283091545105,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_004_msl1024_lr0.0002_steps350_seed42/checkpoint-350,,,,,,,afd55604e6b647cb,1024,round1
r1_005_msl1536_lr0.0001_steps175_seed42,7500,4990,0.0001,16,32,0.05,4,8,32,175,0.05,cosine,0.4503731819561549,2861.7283,0.4102254807949066,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_005_msl1536_lr0.0001_steps175_seed42/checkpoint-150,,,,,,,35aff66e4a4d49b7,1536,round1
r1_006_msl1536_lr0.0001_steps350_seed42,7500,4990,0.0001,16,32,0.05,4,8,32,350,0.05,cosine,0.4116778630869729,6152.9202,0.3768537938594818,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_006_msl1536_lr0.0001_steps350_seed42/checkpoint-350,,,,,,,a3b2c51c4f544237,1536,round1
r1_007_msl1536_lr0.0002_steps175_seed42,7500,4990,0.0002,16,32,0.05,4,8,32,175,0.05,cosine,0.4279408717155457,2863.7014,0.387243777513504,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_007_msl1536_lr0.0002_steps175_seed42/checkpoint-150,,,,,,,1c3f07c240d04d1c,1536,round1
r1_008_msl1536_lr0.0002_steps350_seed42,7500,4990,0.0002,16,32,0.05,4,8,32,350,0.05,cosine,0.3928268955435072,6156.1161,0.35988759994506836,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r1_008_msl1536_lr0.0002_steps350_seed42/checkpoint-350,,,,,,,f590f8aefc614608,1536,round1
