run_name,train_rows,val_rows,learning_rate,lora_r,lora_alpha,lora_dropout,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size,max_steps,warmup_ratio,lr_scheduler_type,train_loss,train_runtime,eval_loss,best_loss_checkpoint,svg_open_rate,svg_close_rate,xml_parse_rate,render_rate,avg_pred_char_len,submission_valid_rate,registry_model_id,max_seq_length,tuning_stage
r4_001_bs4_ga8_seed42,7500,750,0.0002,64,128,0.05,4,8,32,50,0.05,cosine,0.4676175343990326,580.9129,0.4324172437191009,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r4_001_bs4_ga8_seed42/checkpoint-50,,,,,,,b90986cfef10424f,1536,round4
r4_002_bs2_ga8_seed42,7500,750,0.0002,64,128,0.05,2,8,16,50,0.05,cosine,0.4709771811962128,393.8777,0.4436329901218414,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r4_002_bs2_ga8_seed42/checkpoint-50,,,,,,,eafb41fbcdc84ab7,1536,round4
r4_003_bs4_ga4_seed42,7500,750,0.0002,64,128,0.05,4,4,16,50,0.05,cosine,0.4713654327392578,358.1953,0.4442181885242462,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/r4_003_bs4_ga4_seed42/checkpoint-50,,,,,,,5d4370e7697140ba,1536,round4
