stage_idx,stage_label,stage_frac,stage_rows,stage_max_steps,eval_steps,task_metric_name,use_task_metric_early_stopping,early_stopping_patience,early_stopping_min_delta,train_loss,train_runtime,eval_loss,best_loss_checkpoint,stop_reason
1,stage1_easy,0.25,12163,150,50,render_rate,False,2,0.0,0.4490423051516215,1057.2852,0.38283494114875793,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/curriculum_seed42/stage1_easy/checkpoint-150,max_steps reached
2,stage2_easy_med,0.55,26759,150,50,render_rate,False,2,0.0,0.3862373197078705,1273.2077,0.3490353226661682,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/curriculum_seed42/stage2_easy_med/checkpoint-150,max_steps reached
3,stage3_all,1.0,48652,200,50,render_rate,False,2,0.0,0.3435285186767578,1802.3313,0.32607436180114746,/content/drive/MyDrive/DL_Midterm_Spring_2026_2/svg_project_DL/outputs/workflow_runs/run_1/lora_tuning_workflow/curriculum_seed42/stage3_all/checkpoint-200,max_steps reached
